wiek,płeć,lokalizacja,rodzaj_uslugi,czas_subskrypcji,czas_na_platformie,liczba_reklamacji,srednia_transakcji,srednie_wydatki,zalegle_platnosci,rabaty,porzucenie
42.0,0.0,2.0,1.0,9.0,,3.0,16.0,111.0,,19.0,0
26.0,,2.0,3.0,2.0,27.0,3.0,17.0,,0.0,10.0,0
36.0,,2.0,2.0,,,0.0,13.0,199.0,2.0,,0
61.0,0.0,3.0,1.0,19.0,,3.0,8.0,123.0,1.0,,0
39.0,1.0,,2.0,1.0,99.0,4.0,13.0,480.0,1.0,,0
30.0,0.0,2.0,3.0,22.0,,,13.0,423.0,,17.0,0
35.0,0.0,1.0,1.0,11.0,81.0,3.0,8.0,328.0,0.0,17.0,1
63.0,1.0,,2.0,,35.0,,14.0,,0.0,14.0,0
58.0,0.0,1.0,1.0,,23.0,2.0,16.0,385.0,3.0,13.0,1
45.0,,1.0,2.0,8.0,98.0,2.0,17.0,450.0,1.0,,0
37.0,0.0,2.0,3.0,22.0,,3.0,14.0,,2.0,,0
42.0,0.0,,3.0,10.0,69.0,3.0,14.0,475.0,0.0,10.0,0
55.0,0.0,1.0,1.0,23.0,24.0,1.0,13.0,116.0,2.0,11.0,0
61.0,0.0,3.0,2.0,4.0,16.0,3.0,,481.0,1.0,19.0,0
57.0,0.0,2.0,3.0,,12.0,1.0,5.0,357.0,1.0,8.0,1
32.0,1.0,2.0,2.0,8.0,56.0,,,154.0,3.0,14.0,0
54.0,1.0,2.0,3.0,19.0,90.0,4.0,15.0,,,,0
36.0,0.0,3.0,3.0,11.0,,3.0,10.0,290.0,,13.0,0
25.0,,1.0,2.0,,,3.0,19.0,168.0,1.0,13.0,1
40.0,0.0,,2.0,,16.0,,15.0,,3.0,18.0,0
52.0,1.0,,,12.0,52.0,4.0,14.0,373.0,3.0,9.0,0
,0.0,1.0,3.0,23.0,37.0,4.0,,445.0,3.0,,0
38.0,0.0,3.0,,22.0,91.0,4.0,17.0,,1.0,9.0,1
47.0,,2.0,2.0,21.0,70.0,0.0,8.0,393.0,0.0,10.0,1
18.0,,2.0,3.0,20.0,45.0,0.0,7.0,131.0,3.0,,0
37.0,0.0,,1.0,,94.0,,10.0,475.0,2.0,8.0,0
58.0,0.0,,3.0,,25.0,,,,2.0,11.0,0
31.0,0.0,3.0,2.0,6.0,19.0,4.0,6.0,,3.0,17.0,1
,1.0,2.0,2.0,,85.0,1.0,19.0,180.0,0.0,15.0,0
20.0,1.0,3.0,2.0,,,1.0,7.0,165.0,3.0,7.0,0
22.0,,3.0,,,95.0,2.0,,,,7.0,0
31.0,1.0,3.0,3.0,7.0,29.0,2.0,5.0,142.0,1.0,,1
40.0,0.0,3.0,3.0,23.0,32.0,2.0,8.0,,3.0,14.0,0
58.0,0.0,,3.0,,39.0,2.0,,292.0,1.0,19.0,1
22.0,0.0,1.0,3.0,,50.0,0.0,16.0,214.0,,7.0,0
20.0,1.0,,3.0,11.0,,3.0,9.0,133.0,2.0,15.0,0
45.0,0.0,2.0,3.0,21.0,,2.0,18.0,103.0,0.0,16.0,0
44.0,1.0,,3.0,,47.0,0.0,,,1.0,19.0,0
62.0,0.0,1.0,3.0,11.0,60.0,4.0,,305.0,2.0,13.0,1
51.0,1.0,1.0,2.0,,,,,,,,0
58.0,0.0,1.0,2.0,6.0,81.0,1.0,10.0,218.0,2.0,11.0,0
51.0,,2.0,2.0,20.0,90.0,4.0,17.0,,2.0,,0
45.0,0.0,1.0,1.0,23.0,70.0,2.0,12.0,,0.0,19.0,1
43.0,0.0,3.0,1.0,21.0,92.0,3.0,14.0,390.0,0.0,5.0,1
18.0,1.0,3.0,2.0,19.0,23.0,0.0,13.0,359.0,1.0,11.0,0
49.0,,,3.0,2.0,70.0,4.0,19.0,,3.0,19.0,0
,0.0,2.0,2.0,6.0,76.0,3.0,,407.0,2.0,,0
39.0,,2.0,1.0,,52.0,,,,1.0,16.0,0
,,,,,43.0,2.0,14.0,,0.0,11.0,0
,0.0,2.0,1.0,,68.0,1.0,16.0,100.0,,16.0,0
55.0,0.0,2.0,1.0,4.0,79.0,4.0,19.0,191.0,2.0,7.0,0
21.0,1.0,2.0,3.0,,,4.0,19.0,438.0,1.0,13.0,0
31.0,,3.0,3.0,7.0,82.0,2.0,5.0,424.0,,7.0,1
51.0,0.0,2.0,1.0,,18.0,0.0,5.0,494.0,1.0,,0
34.0,0.0,,3.0,,89.0,4.0,9.0,290.0,1.0,,1
36.0,0.0,3.0,1.0,6.0,10.0,0.0,15.0,208.0,1.0,,1
63.0,0.0,3.0,2.0,12.0,,3.0,15.0,481.0,0.0,12.0,1
60.0,1.0,3.0,1.0,,74.0,4.0,12.0,245.0,0.0,7.0,0
53.0,,,3.0,11.0,18.0,2.0,12.0,148.0,2.0,,0
38.0,1.0,3.0,3.0,16.0,65.0,2.0,7.0,141.0,,,0
44.0,1.0,1.0,2.0,12.0,63.0,4.0,17.0,471.0,,12.0,0
24.0,1.0,1.0,,14.0,,3.0,13.0,183.0,1.0,11.0,0
61.0,1.0,1.0,,,45.0,,,254.0,,10.0,0
27.0,1.0,3.0,3.0,16.0,57.0,,12.0,378.0,1.0,11.0,0
55.0,,,2.0,16.0,53.0,2.0,,237.0,3.0,15.0,1
55.0,1.0,1.0,,3.0,12.0,1.0,19.0,,2.0,14.0,0
,0.0,3.0,1.0,5.0,88.0,,18.0,,1.0,9.0,0
23.0,1.0,3.0,1.0,7.0,12.0,3.0,8.0,392.0,0.0,,0
30.0,0.0,1.0,2.0,,,3.0,,180.0,3.0,5.0,0
43.0,1.0,1.0,2.0,12.0,,2.0,14.0,318.0,3.0,,0
,1.0,,2.0,4.0,51.0,1.0,15.0,443.0,,,0
49.0,0.0,2.0,3.0,3.0,10.0,2.0,14.0,278.0,0.0,10.0,0
25.0,1.0,2.0,3.0,23.0,88.0,2.0,19.0,143.0,,7.0,0
,0.0,3.0,2.0,7.0,12.0,4.0,6.0,388.0,1.0,11.0,0
61.0,1.0,2.0,2.0,,19.0,,17.0,362.0,1.0,19.0,1
51.0,1.0,3.0,1.0,14.0,52.0,2.0,,427.0,2.0,,0
23.0,1.0,3.0,1.0,10.0,39.0,,11.0,372.0,0.0,10.0,0
38.0,,3.0,1.0,7.0,53.0,3.0,,403.0,,9.0,0
25.0,1.0,,1.0,,11.0,1.0,18.0,,,6.0,0
40.0,0.0,3.0,3.0,9.0,63.0,,,409.0,1.0,,1
63.0,0.0,2.0,,,34.0,0.0,6.0,392.0,2.0,,1
,1.0,,,14.0,72.0,2.0,,114.0,0.0,9.0,0
38.0,,3.0,2.0,8.0,,2.0,,489.0,3.0,18.0,0
53.0,,3.0,3.0,1.0,66.0,0.0,14.0,337.0,0.0,17.0,1
37.0,1.0,,3.0,,99.0,,5.0,156.0,0.0,5.0,0
52.0,,,2.0,10.0,24.0,2.0,17.0,118.0,0.0,,0
39.0,,3.0,3.0,11.0,77.0,3.0,17.0,,3.0,,0
41.0,1.0,1.0,2.0,10.0,82.0,,18.0,,2.0,,1
60.0,0.0,1.0,,,62.0,0.0,13.0,125.0,1.0,11.0,0
19.0,0.0,1.0,1.0,,84.0,1.0,,494.0,,18.0,0
64.0,0.0,3.0,1.0,13.0,37.0,3.0,,228.0,1.0,6.0,0
19.0,0.0,1.0,3.0,10.0,16.0,2.0,13.0,,,13.0,0
48.0,,,,13.0,63.0,2.0,5.0,404.0,,14.0,0
,0.0,1.0,2.0,4.0,23.0,0.0,10.0,474.0,,,0
20.0,,1.0,1.0,19.0,89.0,1.0,,454.0,1.0,12.0,0
31.0,,1.0,2.0,19.0,53.0,0.0,16.0,,0.0,9.0,0
,0.0,1.0,2.0,9.0,11.0,,17.0,316.0,,19.0,0
58.0,0.0,,,,78.0,4.0,5.0,467.0,,,1
46.0,1.0,1.0,,,22.0,1.0,5.0,485.0,,14.0,0
41.0,0.0,1.0,,3.0,,,16.0,327.0,2.0,18.0,0
56.0,,2.0,3.0,23.0,58.0,2.0,19.0,,0.0,18.0,0
,,1.0,1.0,13.0,,2.0,15.0,409.0,2.0,15.0,0
,1.0,2.0,,23.0,83.0,3.0,19.0,424.0,0.0,9.0,0
52.0,1.0,1.0,1.0,13.0,40.0,0.0,,288.0,,,0
48.0,0.0,2.0,1.0,8.0,73.0,2.0,,,0.0,10.0,0
40.0,1.0,3.0,1.0,18.0,97.0,0.0,9.0,172.0,0.0,18.0,0
39.0,1.0,1.0,1.0,23.0,84.0,2.0,,124.0,1.0,7.0,0
30.0,0.0,3.0,3.0,,,3.0,13.0,295.0,2.0,,0
46.0,,,2.0,,,4.0,,420.0,,,0
23.0,0.0,2.0,1.0,22.0,,4.0,,204.0,1.0,,0
47.0,1.0,2.0,,,77.0,,14.0,368.0,0.0,14.0,0
59.0,1.0,,3.0,,19.0,1.0,16.0,354.0,0.0,6.0,1
,0.0,1.0,3.0,,89.0,0.0,19.0,313.0,2.0,16.0,1
22.0,0.0,2.0,3.0,7.0,83.0,2.0,,308.0,0.0,6.0,1
24.0,0.0,1.0,2.0,,44.0,0.0,8.0,410.0,0.0,7.0,1
55.0,0.0,,2.0,6.0,,2.0,13.0,313.0,1.0,6.0,0
51.0,,1.0,1.0,10.0,86.0,1.0,,406.0,,7.0,1
,0.0,3.0,,7.0,18.0,0.0,9.0,,,6.0,0
60.0,1.0,1.0,2.0,18.0,62.0,,,,,10.0,0
61.0,0.0,2.0,1.0,1.0,93.0,4.0,16.0,,1.0,,0
,1.0,2.0,,19.0,44.0,,19.0,140.0,1.0,15.0,1
,0.0,1.0,3.0,14.0,,1.0,9.0,,0.0,17.0,0
25.0,1.0,2.0,1.0,2.0,52.0,1.0,5.0,242.0,2.0,7.0,1
24.0,,,3.0,,,2.0,6.0,,3.0,15.0,0
43.0,1.0,2.0,2.0,,10.0,0.0,13.0,,2.0,9.0,0
,1.0,,,7.0,41.0,0.0,17.0,373.0,1.0,19.0,1
35.0,1.0,3.0,1.0,10.0,92.0,4.0,11.0,,0.0,10.0,1
,,,1.0,19.0,64.0,0.0,11.0,124.0,1.0,,0
55.0,,,,4.0,31.0,,18.0,124.0,3.0,9.0,1
45.0,1.0,,1.0,,39.0,3.0,11.0,472.0,0.0,19.0,0
64.0,0.0,2.0,2.0,,53.0,,16.0,125.0,,11.0,0
,,,1.0,9.0,92.0,1.0,19.0,429.0,3.0,,0
,0.0,2.0,2.0,21.0,66.0,2.0,19.0,118.0,1.0,6.0,0
50.0,0.0,1.0,2.0,11.0,17.0,1.0,12.0,492.0,1.0,,0
33.0,0.0,,3.0,8.0,22.0,4.0,17.0,188.0,3.0,13.0,1
54.0,0.0,,,2.0,,3.0,13.0,488.0,,10.0,0
59.0,,,3.0,3.0,39.0,4.0,16.0,219.0,,,0
34.0,0.0,1.0,2.0,6.0,56.0,2.0,,202.0,3.0,6.0,0
,0.0,1.0,3.0,12.0,26.0,0.0,,348.0,3.0,,0
,1.0,1.0,1.0,22.0,92.0,2.0,5.0,,3.0,14.0,0
,0.0,3.0,2.0,,,0.0,,,,14.0,1
23.0,,1.0,1.0,17.0,57.0,1.0,7.0,207.0,3.0,8.0,1
,1.0,2.0,1.0,,92.0,0.0,12.0,330.0,,19.0,1
58.0,1.0,2.0,2.0,5.0,14.0,0.0,19.0,225.0,1.0,17.0,1
35.0,0.0,,3.0,,22.0,,,114.0,1.0,,1
,0.0,3.0,1.0,22.0,84.0,4.0,11.0,195.0,0.0,18.0,0
50.0,,3.0,,16.0,,3.0,11.0,,0.0,5.0,1
25.0,0.0,1.0,3.0,22.0,28.0,0.0,10.0,,0.0,10.0,0
36.0,,3.0,,1.0,72.0,3.0,18.0,,1.0,,0
,,3.0,,,76.0,0.0,13.0,324.0,0.0,10.0,0
